,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,23325,55746,2264,9797,9637,3454,7852,3925,51005,665,3638,55608,79716,5880,79600,2534,10057,51422,27032,57149,9217,54442,11137,11261,6499,1829,9670,2115,23368,9842,5883,116832,949,10973,4482,64746,30849,80347,10557,91949,2961,10038,55129,6709,4172,58478,51015,6118,56889,1788,5997,1994,1802,57178,54505,4780,835,6184,10523,10489,388650,6813,1891,5782,1070,6714,55033,25932,2810,4851,207,3157,5547,11031,60493,26054,6500,23499,695,3775,1213,1831,6919,9709,5909,51071,11151,10782,9695,10491,392,9455,1050,976,10857,4791,22934,39,7099,481
11,7852,1786,5986,25803,27032,11261,11137,79600,6119,9517,1829,64746,27336,5777,116832,2534,9851,4482,3638,10973,30849,5721,8900,5891,10038,58497,54681,5873,6709,4172,51015,22809,63933,10398,4303,9019,6804,637,993,51422,1788,1452,55608,57178,79170,39,26036,10489,6813,23522,56940,1070,26128,10059,55033,25805,11151,79921,4851,9695,3157,1891,3566,7158,3775,9709,10523,5909,79850,51071,23636,392,10670,7099,8440,1848,148022,51293,9703,4791,5601,7750,5715,5440,466,23271,27346,26136,9650,9926,6944,9552,8821,10857,8318,26227,9897,6990,5588,9761
12,7852,5986,55608,5467,3638,51422,79600,1534,2115,11261,27032,2534,9670,11137,5525,10557,23244,2625,9517,1829,94239,3925,5721,949,30849,8324,8900,54681,4172,2961,58478,7105,23499,58497,993,6709,4303,1788,5873,2887,56889,11072,211,39,26036,84617,56940,10489,388650,1891,25805,1070,55033,4851,54505,11031,26054,3108,10059,3775,1831,3566,9270,79850,5909,392,4791,10670,5601,2946,148022,7077,51293,23271,3157,9703,4846,6347,60528,5440,9650,8914,5287,1465,27346,5111,26227,6990,54205,890,8851,11004,256364,4864,4850,57048,8678,3206,6790,23338
13,23325,2264,9637,7852,57149,10434,3638,51422,5747,2115,5883,5880,80212,11137,9217,1534,27032,6119,2534,1829,10682,7074,10557,94239,5898,80347,8553,91949,10038,3978,8324,8900,5891,58497,6709,3553,4172,51015,2961,7105,5721,25932,2625,56889,58478,2887,10892,211,1788,7077,39,26036,10523,23522,7157,6500,1891,10059,25805,5770,55033,3725,3157,11031,11072,79921,9053,5831,1019,5909,51071,392,10491,1050,22934,79850,7099,695,481,9552,148022,25825,55608,9709,4638,51293,23647,10695,9703,23271,5440,27346,6944,1465,3566,26227,466,388650,60528,102
14,1786,3638,5777,79716,3312,5880,7852,11261,2534,27032,9217,1454,5747,1829,9517,51422,116832,10557,6119,10057,8900,8324,58497,54681,4482,7105,30,5997,6616,637,39,84617,993,1891,10489,25805,1070,3978,55033,4851,79921,3157,11031,6714,2063,54505,3566,10857,3775,1831,79850,9709,23636,4791,10670,5831,54442,9552,25932,51293,23338,9703,5111,7750,5715,27346,6944,5092,5440,8821,7153,8318,5287,5588,4850,102,6990,10123,3480,256364,5525,6790,8061,6772,6193,6793,4043,23635,23013,4172,51170,9289,7106,6253,23212,1846,9212,4282,9761,51097
15,9637,7852,57149,1786,55608,10434,3638,5777,2115,27032,5747,5525,11137,1534,1829,2625,94239,11261,2264,5883,23463,23325,9851,80347,10038,5898,8900,58497,6804,4172,10557,7105,637,30849,58478,1452,11072,6616,2887,211,25932,1994,7077,39,5873,6676,1891,25805,10059,23223,4851,3157,207,11031,3566,10857,5831,1019,9053,1643,1831,3775,23636,79170,9709,7099,4791,9552,51293,9703,102,23271,10670,6347,148022,392,6944,5440,5287,79921,6714,26036,5111,9897,9761,388650,54205,6990,6790,27346,23635,23013,51170,7106,3611,6657,23212,51005,23338,2770
16,7852,57149,3638,55608,1534,5880,2534,9670,1829,5721,11137,10557,80347,10038,8900,79600,5891,91949,58497,5873,54681,6709,51015,9637,7105,4172,637,1452,11072,39,23522,1891,6813,1070,22809,7077,56940,55033,4851,79921,3157,1786,3566,3108,2946,7158,1831,9709,79850,10489,392,4791,10670,22934,7099,1848,9552,148022,5831,51293,51071,9703,2887,102,5440,6697,481,79716,8061,6990,1019,23271,256364,5588,11261,9761,10123,9926,5355,6790,6193,23013,51170,6253,23635,23210,23212,9212,10921,9517,51097,8678,3122,1994,10112,2769,4303,1277,670,5654
17,55746,51005,7852,57149,1786,5467,5777,79716,1534,7074,230,2534,10057,9670,5880,23244,27336,80212,9517,64746,1829,10525,3638,27032,2896,5747,10038,8324,8900,58497,54681,6804,5873,6709,30,4303,63933,637,23499,835,6118,57804,56889,25932,2887,57178,79170,7077,54505,39,7157,84617,55129,388650,6676,1891,25805,1070,10059,4780,55033,11151,4851,2063,3157,9695,323,10857,3566,9842,7158,3775,9709,5909,51071,23636,392,4791,4638,10670,481,1848,148022,23061,51293,9703,6347,79850,5440,6697,154,8061,8821,5096,26136,6944,8318,5289,4282,6990
18,51005,7852,3454,3925,55608,5467,3638,79716,5777,5880,1534,10058,2534,9670,80212,10682,5721,2625,23368,10557,29937,27336,10038,10180,10434,10953,54681,6709,4172,6804,30,63933,637,7105,56889,58497,6118,1788,1994,835,4780,7077,54505,39,7157,56940,388650,6676,6813,23522,1643,1891,25805,10059,11151,4851,3157,79921,26054,3566,3775,7158,9709,5831,5909,9686,51071,23636,323,392,4791,10670,7099,481,1848,148022,4067,23338,976,3930,5111,7494,102,154,5440,9552,26136,5092,4582,5287,8821,11072,8914,6990,5588,60528,5498,5716,8678,57048
19,51005,7852,1786,5883,10434,3553,5880,55608,2115,3312,27032,5747,11137,9217,23244,5467,1829,11261,94239,23029,5898,51422,9851,80347,91949,5986,10038,58497,54681,6709,6804,5154,8324,58478,4172,7105,637,23499,25932,56889,1452,6616,993,79170,7077,39,7157,10892,84617,10180,6813,2063,1891,25805,1070,26128,55033,79921,26054,3566,50814,1831,23636,55129,10670,4638,7099,211,481,25825,11182,23338,51293,4067,9703,8914,10695,7750,6347,5831,10049,5440,27346,55008,6944,388650,8061,6990,1465,54205,5588,4850,5601,6790,6772,6793,23635,4043,23013,23321
20,9637,7852,5883,5467,79716,5880,7074,80212,9670,11137,23463,23244,10557,1829,94239,2109,5898,9851,10038,8324,8900,58497,54681,6709,4303,55129,7105,637,23499,25932,57804,2887,56889,1994,211,79170,5770,39,7157,388650,6813,26036,1891,25805,10059,4851,3157,11151,6714,6184,3108,26128,23636,7158,976,10670,7099,4791,481,1831,23522,23338,9703,154,23061,9926,55008,51293,3566,9650,8061,1465,7077,6990,4282,54205,8851,5588,57048,60528,11319,8821,6790,11157,6772,6193,23635,7016,23013,2624,23321,51170,55556,7106,23212,5261,6253,10434,1846,2770
21,9637,55746,55608,10434,3638,1534,7852,51422,2534,2115,27032,11137,2625,1829,10973,10682,23142,8900,58497,54681,6804,4172,10398,7105,637,23499,4303,6709,1788,1452,1994,79170,8324,2887,5891,6616,7077,39,26036,6813,10059,993,55033,4851,26128,10038,3157,9695,3566,10857,2946,3108,7158,9709,323,5909,392,4791,3682,10670,7099,1831,23463,1848,148022,51293,481,9703,25805,5440,23271,27346,3775,8821,26227,6990,9926,976,5547,55556,6793,2624,23013,6790,11151,7106,10489,23321,6253,5261,102,1846,6193,6944,9212,4125,51097,6304,23365,3480
22,7852,5986,55608,79716,5467,10434,1534,2534,9670,27336,10557,1829,5721,9517,949,10973,30849,91949,5873,6804,10038,54681,29937,58497,8900,4303,7105,5891,2887,1994,2896,57178,39,896,10489,6813,1891,56940,23522,10059,84617,55033,79921,4851,3157,25805,9686,3566,3108,7158,9709,79850,51071,392,323,11151,976,4791,10670,2109,481,7494,2946,1677,1848,148022,30,51293,9703,4846,102,6347,5440,27346,64428,9926,5287,1831,23636,6990,94239,8061,5782,5588,5715,8851,8678,3682,4172,11319,6790,23013,10123,7106,51170,6253,5261,23212,3315,8895
23,23325,57149,5883,10434,5467,3638,79716,5777,7074,5880,80212,9670,2115,7852,1829,94239,5525,80347,6804,5154,2534,7105,1534,55129,56889,211,1994,9637,27336,6616,1788,7077,39,84617,25932,2063,6813,54681,1891,25805,26128,637,6676,55033,23636,30,57804,7099,4791,51293,3930,9703,6347,10670,10857,1452,5440,102,5287,8914,57048,54205,79170,11319,3480,9552,6790,8678,6990,9531,23635,148022,23321,51170,23013,7106,3315,84890,9212,5355,1070,23338,51097,670,6304,23365,983,3122,10112,3566,5480,10270,2673,10320,2767,8204,868,10810,3486,10776
24,55746,51005,7852,5467,79716,7074,79600,230,11261,2534,9670,80212,3638,27336,10682,1534,5721,64746,23244,10525,9851,9517,91949,10038,58497,10953,54681,55129,6709,6804,5873,4172,4303,30,949,637,6118,23499,25932,56889,9019,896,2887,1994,4582,54505,39,4780,7077,6184,388650,23522,54807,1891,25805,1070,55033,11151,79921,7157,4851,26036,3157,63933,7158,3775,9270,9709,5909,5710,79850,51071,323,23636,6813,392,4791,9053,11137,10670,3566,1848,51293,5829,23338,9703,154,6347,11031,26136,481,10491,5289,9926,8318,6990,890,5111,4850,5588
25,55746,51005,9637,7852,57149,5467,79716,1534,79600,11261,2115,2534,80212,9670,11137,230,23244,27336,2896,64746,10682,5721,5883,10525,7074,4482,30849,10038,91949,58497,6709,6804,4172,30,4303,637,23499,896,25932,56889,1677,2887,1994,1788,57178,10732,79170,7077,54505,39,388650,10489,23142,1891,25805,6813,84617,835,55033,4851,3157,11151,26054,8324,10857,8835,3566,11031,1831,23636,392,10059,4791,51071,3682,1848,79850,10670,23061,9270,1213,51293,5111,4846,11182,6347,55129,26136,466,6697,949,7158,5289,8318,9897,890,5588,57048,2690,8678
